Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.34,Wed Jul 04 07:00:12 +0000 2018,0.0,0.789,0.211,🎹🎶 Colette has played the piano for over a century. https://t.co/MeTB1jsYm8,13,@BBC
0.6597,Tue Jul 03 21:01:39 +0000 2018,0.102,0.646,0.252,"RT @BBCMOTD: #ENG have won a #WorldCup penalty shootout for the first time in the nation's history.

We repeat: England have won a #WorldCu…",14,@BBC
-0.3182,Tue Jul 03 20:55:51 +0000 2018,0.095,0.905,0.0,"RT @BBCMOTD: argentIna knocked ouT
Spain lost to the hosts
france COnceded three 
gerMany have been elimINated
portuGal on tHe plane back t…",15,@BBC
0.2023,Tue Jul 03 19:32:04 +0000 2018,0.0,0.917,0.083,"Tonight, Joe Swift and @jowhiley take a look at what's in store at the RHS Hampton Court Palace Flower Show. 🌸💐🌷🏰… https://t.co/zaFy1lN26l",16,@BBC
-0.5106,Tue Jul 03 18:00:25 +0000 2018,0.248,0.752,0.0,"Don't let anyone tell you your pain is normal. 
#Endometriosis https://t.co/Iq5UWFYcto",17,@BBC
0.4019,Tue Jul 03 17:01:03 +0000 2018,0.067,0.753,0.18,"'Turning 30 is like playing musical chairs. The music stops, and everyone just marries whoever they happen to be si… https://t.co/fsuTCD3AS6",18,@BBC
0.0,Tue Jul 03 16:00:18 +0000 2018,0.0,1.0,0.0,"🗣⚽️ Why is football so full of cliches? 
#WorldCup https://t.co/mMe3p1ibrB",19,@BBC
0.128,Tue Jul 03 15:21:59 +0000 2018,0.0,0.923,0.077,"🍓🎾 A young David Attenborough discusses the beginning of regular colour TV in Britain, launched at #Wimbledon in 19… https://t.co/wUeuqWXGVT",20,@BBC
0.6808,Tue Jul 03 15:07:30 +0000 2018,0.124,0.547,0.328,"RT @BBCWorld: ""Today is the best day""

Families celebrate as rescuers reach boys trapped in Thailand cave https://t.co/61s78f6ZXk https://t…",21,@BBC
0.0,Tue Jul 03 14:23:58 +0000 2018,0.0,1.0,0.0,"RT @BBCWales: The story of Aneurin Bevan in 70 seconds. 
#NHS70 https://t.co/TKtkWEjohJ",22,@BBC
-0.6705,Tue Jul 03 14:03:05 +0000 2018,0.2,0.8,0.0,"😨🐙🔮 A 'psychic' octopus, who correctly predicted all of Japan's World Cup results, has been killed and turned into… https://t.co/zeebvUYUfl",23,@BBC
0.5411,Tue Jul 03 12:19:44 +0000 2018,0.0,0.811,0.189,RT @BBCTwo: Look at these INCREDIBLE desserts inspired by #Wimbledon! 😋 🎾 #GreatBritishMenu https://t.co/8rPzAAnSgT,24,@BBC
0.2732,Tue Jul 03 12:00:20 +0000 2018,0.0,0.861,0.139,"😍🦔 Meet Arbuckle... he's adorable, but he could be the world's fattest hedgehog. https://t.co/Svgc7oLBcx",25,@BBC
0.0,Tue Jul 03 11:31:42 +0000 2018,0.0,1.0,0.0,We're using around 9 billion fewer plastic bags now they cost 5p each... but there's still more to be done.… https://t.co/dYXaZ2YFI8,26,@BBC
0.128,Tue Jul 03 11:02:04 +0000 2018,0.0,0.903,0.097,"👔 A Japanese company has launched a line of business suits specifically for blue-collar workers.
👉… https://t.co/mKOTswtAi1",27,@BBC
-0.9028,Tue Jul 03 09:37:17 +0000 2018,0.396,0.604,0.0,"RT @1Xtra: What's worse; scoring an own goal or having a DEAD trim?

@NickBrightDJ @CheekySport &amp; @MrBigzOfficial weren't happy with Sergio…",28,@BBC
0.0,Tue Jul 03 08:00:15 +0000 2018,0.0,1.0,0.0,❤️ This man is cleaning all 388 Holocaust plaques in his city. https://t.co/AfdxFBxxJ4,29,@BBC
0.8541,Tue Jul 03 07:26:06 +0000 2018,0.0,0.67,0.33,"🎨🐠 Are we really the only creatures on Earth capable of delighting in beauty? Or can animals be artists too?
👉… https://t.co/9tZ0X8jyqb",30,@BBC
0.0,Tue Jul 03 07:01:02 +0000 2018,0.0,1.0,0.0,Why scientists are counting seal pups in the Thames Estuary. https://t.co/GfMjrwpzPH,31,@BBC
0.0,Mon Jul 02 19:01:05 +0000 2018,0.0,1.0,0.0,A golden retriever named Todd has been labelled a 'hero' after he was bitten by rattlesnake while protecting his ow… https://t.co/jwSa2knHKj,32,@BBC
-0.128,Mon Jul 02 18:01:05 +0000 2018,0.086,0.914,0.0,"This woman is cutting out the middle man and working directly with Indian farmers.

(via @BBCThree) https://t.co/faRaW27jTp",33,@BBC
0.1027,Mon Jul 02 16:13:24 +0000 2018,0.089,0.806,0.105,"12 boys and their football coach have been found alive after nine days missing in caves in Thailand, the regional g… https://t.co/435VAvqUN9",34,@BBC
0.6705,Mon Jul 02 16:04:06 +0000 2018,0.0,0.776,0.224,😂✋ This game of tag started five years ago - and it's fair to say it's got a bit out of hand. https://t.co/ytG4D9pWXi,35,@BBC
-0.1779,Mon Jul 02 16:01:04 +0000 2018,0.09,0.854,0.055,"RT @BBCTwo: In the strange, brooding landscape of the Australian bush, something unthinkable is about to happen… #PicnicAtHangingRock https…",36,@BBC
0.2263,Mon Jul 02 15:51:11 +0000 2018,0.133,0.664,0.203,"RT @bbcthree: ""She was nasty. She took control of me.""

Jodie survived anorexia. Now, she's helping others do the same. https://t.co/pfWwo8…",37,@BBC
0.0772,Mon Jul 02 15:50:40 +0000 2018,0.0,0.925,0.075,RT @BBCNewsround: Want the NHS summed up in 70 seconds? Of course you do. #NHS70 https://t.co/zTkgHb491U https://t.co/nZQM53GPZv,38,@BBC
0.1027,Mon Jul 02 15:44:43 +0000 2018,0.092,0.798,0.109,RT @BBCBreaking: All 12 boys and their football coach found alive after nine days missing in Thailand caves - regional governor https://t.c…,39,@BBC
0.5093,Mon Jul 02 13:04:05 +0000 2018,0.0,0.852,0.148,😍 This tiny little sun bear is the first ever to be born in the UK! https://t.co/OaFQ45IbDY,40,@BBC
-0.5719,Mon Jul 02 12:04:02 +0000 2018,0.425,0.575,0.0,What's the point of humiliation? https://t.co/8VGBENJzZ0,41,@BBC
0.0,Mon Jul 02 11:01:07 +0000 2018,0.0,1.0,0.0,"🚀🤖 'Cimon', an experimental floating robot with an animated cartoon face has been sent to the International Space S… https://t.co/4N4oByDru8",42,@BBC
0.4939,Mon Jul 02 09:31:06 +0000 2018,0.0,0.856,0.144,Sue Barker introduces live coverage from the opening day of the 2018 Wimbledon Championships from the All England C… https://t.co/oQrpyhhL0d,43,@BBC
0.0,Mon Jul 02 08:03:02 +0000 2018,0.0,1.0,0.0,10-year-old Kareem's artworks are absolutely incredible. https://t.co/Ip4X0w1dpc,44,@BBC
0.0,Mon Jul 02 07:27:05 +0000 2018,0.0,1.0,0.0,An experiment using a vending machine specifically designed for crows has revealed something about how intelligence… https://t.co/ND20eqlIZ3,45,@BBC
0.0,Mon Jul 02 07:03:02 +0000 2018,0.0,1.0,0.0,🏃🏻‍♂️ This Scottish teenager has mind-blowing #parkour skills. https://t.co/SlvAKocTJ2,46,@BBC
0.8299,Sun Jul 01 20:43:50 +0000 2018,0.0,0.748,0.252,"RT @BBC6Music: 👏 What was the best gig you saw in June?

🎟 What exciting things have you got coming up in July?",47,@BBC
0.6588,Sun Jul 01 19:36:52 +0000 2018,0.0,0.845,0.155,"RT @bbc5live: “We said jokingly, ‘is it a shark?!’” 😲🦈

A great white shark has been spotted in Spanish waters for the first time in over 4…",48,@BBC
0.4019,Sun Jul 01 19:27:02 +0000 2018,0.0,0.876,0.124,"Get unprecedented access to the hidden world of elite gymnasts in Russia. 🤸‍♀️

Storyville: Olympic Dreams of Russi… https://t.co/2ZhaGsysoa",49,@BBC
-0.2957,Sun Jul 01 19:02:03 +0000 2018,0.176,0.657,0.168,"✈️🌍 @RomeshRanga travels way beyond his comfort zone to some of the most beautiful, but dangerous, places on earth.… https://t.co/ud4Vni3WW2",50,@BBC
-0.0516,Sun Jul 01 18:00:19 +0000 2018,0.273,0.515,0.211,"Why were these photos of the Great Depression censored using a hole punch?
https://t.co/LijCpCURdC",51,@BBC
0.5994,Sun Jul 01 17:58:17 +0000 2018,0.0,0.822,0.178,"RT @BBCSport: Two-time champion Andy Murray has withdrawn from #Wimbledon on the eve of the tournament.

More: https://t.co/Ngi3D5UZQF http…",52,@BBC
0.0,Sun Jul 01 17:07:02 +0000 2018,0.0,1.0,0.0,Experienced sailor Emily Penn has set out with an all-female crew to investigate the world's largest accumulation o… https://t.co/WQ0W3RPHRk,53,@BBC
0.0,Sun Jul 01 16:32:14 +0000 2018,0.0,1.0,0.0,"RT @BBCMOTD: Bring on penalties!

#ESPRUS #WorldCup https://t.co/feSCpfSUWI",54,@BBC
0.0,Sun Jul 01 16:06:03 +0000 2018,0.0,1.0,0.0,"😐 This is what happens when you hire an arts and crafts teacher to freshen up a 16th-Century wooden sculpture.
👉… https://t.co/S6gXo5Yfgv",55,@BBC
0.0,Sun Jul 01 15:07:02 +0000 2018,0.0,1.0,0.0,When Natasha was 14 she had nowhere to call home. https://t.co/O5w2JzIWFh,56,@BBC
0.9096,Sun Jul 01 14:19:37 +0000 2018,0.0,0.582,0.418,RT @BBCTwo: Happy #CanadaDay to the hilarious @kathbum! Here are all your very best bits from #LiveAtTheApollo! ❤️🇨🇦 https://t.co/VHpkGeR2ia,57,@BBC
0.5574,Sun Jul 01 13:32:20 +0000 2018,0.0,0.841,0.159,"RT @BBCScotland: The remarkable Viking discovery on the Isle of Skye.

See more from Scotland from the Sky https://t.co/FRtwE5IzGA https://…",58,@BBC
0.0516,Sun Jul 01 13:08:41 +0000 2018,0.252,0.485,0.262,RT @bbcthree: Georgina organises parties to help combat loneliness. She's 96 years old. https://t.co/VGZ1LB6FoW,59,@BBC
0.5859,Sun Jul 01 13:04:05 +0000 2018,0.0,0.703,0.297,❤️ What a lovely thing to do for someone. https://t.co/goE9GEi8k0,60,@BBC
-0.296,Sun Jul 01 11:53:09 +0000 2018,0.145,0.855,0.0,"RT @bbcstories: The incredible 23-year-old @SherrieSilver, who choreographed Childish Gambino's (@donaldglover’s) #ThisIsAmerica video, say…",61,@BBC
0.7269,Sun Jul 01 11:52:12 +0000 2018,0.0,0.747,0.253,"RT @bbcarts: David Attenborough on the artistic abilities of animals, including the great reed warbler, peacock jumping spider and Japanese…",62,@BBC
0.0,Sun Jul 01 11:04:03 +0000 2018,0.0,1.0,0.0,Got a sour taste in your mouth? https://t.co/sFxRSJzwaN,63,@BBC
-0.7003,Sun Jul 01 10:08:02 +0000 2018,0.266,0.734,0.0,"☄️🔭 71 years after her death, the UK's forgotten astronomer Annie Maunder is finally getting some recognition. https://t.co/fjWUaZC4zQ",64,@BBC
0.5784,Sun Jul 01 09:03:08 +0000 2018,0.065,0.688,0.247,🇬🇧 Life on Great Britain's outer islands is not always easy - but that hasn't stopped people making them their home… https://t.co/5654v897yH,65,@BBC
0.0,Sun Jul 01 08:07:00 +0000 2018,0.0,1.0,0.0,"How did we get here; to a world full of plastic?

#PlasticsAction https://t.co/LwY3W2RC61",66,@BBC
-0.128,Sun Jul 01 07:04:01 +0000 2018,0.116,0.784,0.1,"Half of all people who drown never intended to be in the water.

Knowing how to stay afloat could save your life 👇 https://t.co/94IezeCREn",67,@BBC
0.5707,Sat Jun 30 19:56:38 +0000 2018,0.0,0.85,0.15,"RT @5liveSport: FT:

#URU 2 - 1 #POR

Portugal, the reigning European champions, are out of the #WorldCup!

Uruguay will face #FRA in the q…",68,@BBC
-0.5106,Sat Jun 30 19:50:50 +0000 2018,0.356,0.491,0.153,RT @bbcthree: Would you criticise a stranger like you criticise yourself? https://t.co/VXiSiSZQ8n,69,@BBC
-0.6705,Sat Jun 30 19:27:05 +0000 2018,0.234,0.766,0.0,"With plastic protests around the country and a proposed ban on cotton buds, is plastic becoming the ‘new fur’?
👉… https://t.co/i5U2OGUYET",70,@BBC
0.0,Sat Jun 30 18:28:48 +0000 2018,0.0,1.0,0.0,RT @BBCWorld: Unesco announces new heritage sites around the world https://t.co/8UoJausebb,71,@BBC
0.0,Sat Jun 30 18:12:00 +0000 2018,0.0,1.0,0.0,"😨👀 This AI software uses wireless signals to watch you... even through walls.
(via @BBCClick) https://t.co/T7ne9ZYpX0",72,@BBC
0.3802,Sat Jun 30 17:04:00 +0000 2018,0.0,0.834,0.166,"💪👕 Doing laundry on Fair Isle is not for the faint-hearted!
(via @BBCScotland) https://t.co/EAgT1mt6Ak",73,@BBC
0.0,Sat Jun 30 16:04:06 +0000 2018,0.0,1.0,0.0,🎧✊ DJ Switch has big plans for the future. https://t.co/b5CY3vEX7Q,74,@BBC
0.0,Sat Jun 30 16:03:09 +0000 2018,0.0,1.0,0.0,"RT @5liveSport: What a stat 🔥⚽️

Mbappe is the first teenager to score at least twice in a #WorldCup match since Pele 🤩👏

#FRA 4-2 #ARG

Li…",75,@BBC
-0.3818,Sat Jun 30 15:07:03 +0000 2018,0.12,0.88,0.0,"💄 Does your lipstick threaten the future of one of our closest living relatives?
👉 https://t.co/ldRFuFMJ23 https://t.co/pFccqj1CXS",76,@BBC
0.5509,Sat Jun 30 13:40:13 +0000 2018,0.0,0.835,0.165,"RT @Wimbledon: ""It was one of the most emotional matches I played in my career. That final had a big impact on my tennis and personal life""…",77,@BBC
0.0,Sat Jun 30 12:58:04 +0000 2018,0.0,1.0,0.0,"🦀😲 The 'dresser crab' decorates itself with seaweed, sponges and pearls to ward off predators!
#QI https://t.co/l4ziAmbx92",78,@BBC
0.5719,Sat Jun 30 12:13:52 +0000 2018,0.0,0.866,0.134,RT @bbcideas: Another unsung heroine you need to know. The life of Mary Anning - told using sand and pebbles from the beach where she worke…,79,@BBC
0.891,Sat Jun 30 12:13:40 +0000 2018,0.0,0.685,0.315,"RT @BBCBreakfast: 🐻 The first Sun Bear to ever born in the UK! 😍
How amazing is this little miracle bear? https://t.co/wyRRiXO7eX",80,@BBC
0.0,Sat Jun 30 12:07:04 +0000 2018,0.0,1.0,0.0,🌲🌳 Where exactly did Iceland's trees go? https://t.co/Trrrl2KTg2,81,@BBC
0.4404,Sat Jun 30 11:05:01 +0000 2018,0.114,0.659,0.228,😂 A colour guide for your next spray tan… https://t.co/MuUMV7qJDH,82,@BBC
0.1007,Sat Jun 30 10:02:04 +0000 2018,0.0,0.91,0.09,"🚄😽🎀 All aboard Japan's new #HelloKitty themed bullet train!
👉 https://t.co/8wiL4MDt0W https://t.co/qTplQ9GNdw",83,@BBC
-0.4404,Sat Jun 30 09:23:10 +0000 2018,0.208,0.683,0.109,"RT @BBCWalesNews: ❤️️ Nothing was going to stop World War Two pilot Ian Kerr-Bonner from saying a final goodbye to his oldest friend

#Arme…",84,@BBC
0.0,Sat Jun 30 09:05:03 +0000 2018,0.0,1.0,0.0,🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj,85,@BBC
0.0,Sat Jun 30 08:19:13 +0000 2018,0.0,1.0,0.0,"RT @bbc5live: It’s World Asteroid Day🚀

Abigail Harrison, astrobiologist and aspiring astronaut answered all of @chriswarburton_  and 8 yea…",86,@BBC
0.0,Sat Jun 30 08:04:06 +0000 2018,0.0,1.0,0.0,🤖😷 Claims that a chatbot can diagnose medical conditions as accurately as a GP have sparked a row between the softw… https://t.co/USXmTRpcyy,87,@BBC
-0.8689,Sat Jun 30 07:02:00 +0000 2018,0.521,0.479,0.0,"A heartbreaking look at how our discarded plastics are killing wildlife.
#PlasticsAction https://t.co/R3lZNSDtMa",88,@BBC
0.4939,Fri Jun 29 18:01:04 +0000 2018,0.112,0.588,0.3,😂 Dropping MAJOR hints that you want a lift… https://t.co/BC9bJWyOky,89,@BBC
0.0,Fri Jun 29 15:18:58 +0000 2018,0.0,1.0,0.0,"🏇💨 Leaving work on a Friday like...
#FridayFeeling https://t.co/3sGXNH5eqM",90,@BBC
-0.7184,Fri Jun 29 15:05:41 +0000 2018,0.243,0.686,0.071,"RT @bbcthree: Terrifying ✅
Awkward  ✅
Disappointing  ✅

Turns out @rachelparris' Tinder experience was exactly like everyone else's https:/…",91,@BBC
0.1779,Fri Jun 29 13:01:05 +0000 2018,0.0,0.918,0.082,"😭♥️ A cleaner at @BristolUni has been gifted £1,500 after students crowdfunded the money to send him to Jamaica.
👉… https://t.co/RDpCFhIj9j",92,@BBC
0.296,Fri Jun 29 12:51:35 +0000 2018,0.0,0.905,0.095,RT @bbcarts: Meet the six new musicians from around the globe who have been selected to join @BBCRadio3's prestigious New Generation Artist…,93,@BBC
0.0,Fri Jun 29 12:00:19 +0000 2018,0.0,1.0,0.0,"🤔 How many mysterious body parts can you identify from these hyper zoomed in photos?
#JuniorDoctors https://t.co/miuPM0KycI",94,@BBC
0.2023,Fri Jun 29 11:03:07 +0000 2018,0.0,0.913,0.087,"⚡️ How it feels to be hit by lightning + other one in a million chances.
👉 https://t.co/KXzFEzk1rI https://t.co/ZTWl0ZOE0m",95,@BBC
0.3612,Fri Jun 29 09:56:50 +0000 2018,0.0,0.848,0.152,RT @bbcthree: Endometriosis feels like being punched in the vagina with sharp knives. #HearHer https://t.co/pOuZyJObic,96,@BBC
0.0,Fri Jun 29 08:00:12 +0000 2018,0.0,1.0,0.0,♻️💵🇬🇭 Turning plastic trash into cash in Ghana. https://t.co/v3CTho7nnD,97,@BBC
0.0,Fri Jun 29 07:29:06 +0000 2018,0.0,1.0,0.0,"New research shows that our views, even on politics, are changing all the time... just not for the reasons you’d ex… https://t.co/iMz9pEItxv",98,@BBC
0.5859,Fri Jun 29 07:00:12 +0000 2018,0.0,0.648,0.352,🐛😂 Have you ever tried worm charming? https://t.co/S8BPzCmE8N,99,@BBC
0.3182,Mon Jul 02 21:13:11 +0000 2018,0.0,0.892,0.108,"How much does it cost to bury the truth? #OneDollar premieres Thursday, August 30, exclusively on CBS All Access.… https://t.co/1tab8eCaFz",0,@CBS
0.0,Mon Jul 02 20:47:32 +0000 2018,0.0,1.0,0.0,Take a first look at our @Comic_Con lineup along with details of what you can expect to see:… https://t.co/JqBtlKcwq3,1,@CBS
0.0,Mon Jul 02 17:27:06 +0000 2018,0.0,1.0,0.0,RT @TrueCrimeCBS: Two new true-crime series are set to premiere this July on CBS! Learn more about #Whistleblower and #PinkCollarCrimes bef…,2,@CBS
0.5411,Mon Jul 02 17:00:02 +0000 2018,0.0,0.741,0.259,"If at first you don’t succeed on @PriceIsRight…bid, bid again! https://t.co/OWBaOsFZ3i",3,@CBS
0.0,Wed Jun 27 20:31:32 +0000 2018,0.0,1.0,0.0,What’s summer without @CBSBigBrother? ☀️ RT if you’re counting down the hours to the #BB20 premiere TONIGHT at 8/7c… https://t.co/Xp1s4Fp5J8,4,@CBS
0.7574,Wed Jun 27 14:00:01 +0000 2018,0.0,0.711,0.289,"It looks like you...

(•_•)
( •_•)&gt;⌐■-■
(⌐■_■)

Have a lot of TV to watch!

Celebrate #NationalSunglassesDay with H… https://t.co/Babt4ajIgV",5,@CBS
0.5574,Mon Jun 25 18:20:25 +0000 2018,0.0,0.796,0.204,The world will finally know the truth. ☄️ Make sure to tune in to the heart-pounding Season 2 premiere of… https://t.co/mqMleW90DY,6,@CBS
0.1867,Fri Jun 22 21:19:06 +0000 2018,0.0,0.902,0.098,Tonight's the night! Don't miss model @ashleygraham on the season finale of Celebrity @undercover_cbs at 8/7c. https://t.co/iBxAOcOF7a,7,@CBS
0.4199,Fri Jun 22 18:33:53 +0000 2018,0.0,0.811,0.189,"Every day is #TakeYourDogToWorkDay for shows like @HawaiiFive0CBS, @MomCBS, @SEALTeamCBS, and @bigbangtheory! https://t.co/DJaOt1VQcw",8,@CBS
0.4926,Thu Jun 21 23:29:50 +0000 2018,0.0,0.803,0.197,"Lights, camera, selfie! 📸 Could there be a better photo for #NationalSelfieDay? https://t.co/14Ewx64yKC",9,@CBS
0.3555,Wed Jun 20 00:39:01 +0000 2018,0.122,0.68,0.199,There’s nothing quite like watching a contestant win a brand new car on @PriceIsRight. 👏  https://t.co/aKlFikYAMM,10,@CBS
0.0,Mon Jun 18 20:27:50 +0000 2018,0.0,1.0,0.0,Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk,11,@CBS
0.0,Mon Jun 18 15:00:46 +0000 2018,0.0,1.0,0.0,RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…,12,@CBS
0.9392,Sun Jun 17 13:00:01 +0000 2018,0.0,0.507,0.493,"Today and every day we celebrate their love, guidance, and support. Happy #FathersDay to every kind of dad! https://t.co/Wffax1khBH",13,@CBS
0.3595,Fri Jun 15 18:48:29 +0000 2018,0.0,0.872,0.128,"Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n",14,@CBS
-0.296,Thu Jun 14 17:30:00 +0000 2018,0.167,0.833,0.0,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/h3YnFkmSQJ",15,@CBS
0.1779,Thu Jun 14 16:19:32 +0000 2018,0.12,0.734,0.147,RT @StrangeAngel: Mastermind or maniac? Explore the brilliant mind of Jack Parsons in #StrangeAngel. Now streaming on CBS All Access: https…,16,@CBS
-0.5562,Tue Jun 12 00:19:23 +0000 2018,0.315,0.551,0.134,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",17,@CBS
0.5093,Mon Jun 11 22:23:06 +0000 2018,0.0,0.829,0.171,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…",18,@CBS
-0.296,Mon Jun 11 19:01:38 +0000 2018,0.167,0.833,0.0,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa",19,@CBS
0.0,Mon Jun 11 14:00:37 +0000 2018,0.0,1.0,0.0,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT,20,@CBS
0.0,Mon Jun 11 06:19:36 +0000 2018,0.0,1.0,0.0,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r,21,@CBS
0.4767,Mon Jun 11 06:04:41 +0000 2018,0.0,0.78,0.22,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej,22,@CBS
0.8478,Mon Jun 11 03:10:33 +0000 2018,0.0,0.594,0.406,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH,23,@CBS
0.92,Mon Jun 11 03:02:06 +0000 2018,0.0,0.537,0.463,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH,24,@CBS
0.4404,Mon Jun 11 02:58:30 +0000 2018,0.088,0.737,0.175,"RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. 😂

@WaitressMusical @GreatCometBway #TonyAwards https://t.c…",25,@CBS
0.4404,Mon Jun 11 02:56:40 +0000 2018,0.0,0.847,0.153,RT @_stobin13: watching the #TonyAwards after going to 3 broadway shows this weekend makes it even better 😍🤩,26,@CBS
0.836,Mon Jun 11 02:56:10 +0000 2018,0.0,0.533,0.467,Tony Shalhoub wins Best Leading Actor in a Musical. #TonyAwards   #TheBandsVisit https://t.co/KcUDSicKI5,27,@CBS
0.0,Mon Jun 11 02:53:00 +0000 2018,0.0,1.0,0.0,The Boss looks right at home on the #TonyAwards stage! https://t.co/pwjv4iydkn,28,@CBS
0.6369,Mon Jun 11 02:47:29 +0000 2018,0.0,0.682,0.318,RT @Aatamianphoto: Springsteen is on the #TonyAwards and I love it.,29,@CBS
0.7978,Mon Jun 11 02:44:50 +0000 2018,0.0,0.457,0.543,Inspiration: Get to your YES! #OnceOnThisIsland #TonyAwards https://t.co/Wjp0QIWfXq,30,@CBS
0.9523,Mon Jun 11 02:44:37 +0000 2018,0.0,0.484,0.516,The feeling when you win a Tony. 🙌 Congratulations to Once on This Island for winning Best Revival of a Musical!… https://t.co/UpFCqgBTwh,31,@CBS
0.5994,Mon Jun 11 02:33:09 +0000 2018,0.0,0.698,0.302,What a beautiful performance by the cast of #TheBandsVisit. #TonyAwards https://t.co/4Hw96kZvrf,32,@CBS
0.4215,Mon Jun 11 02:29:18 +0000 2018,0.0,0.877,0.123,"""I'm a living example of how theatre can change you - and it didn't just change me, it saved me."" @JohnLeguizamo at… https://t.co/4ICwMhb6hv",33,@CBS
0.8932,Mon Jun 11 02:23:56 +0000 2018,0.0,0.483,0.517,Angels in America takes the win for Best Revival of a Play! #TonyAwards https://t.co/zodW61tw8a,34,@CBS
0.0,Mon Jun 11 02:21:03 +0000 2018,0.0,1.0,0.0,"RT @leahableson: The Once On This Island Goat And Chicken made it to the broadcast, Mama WILL provide #TonyAwards",35,@CBS
0.0,Mon Jun 11 02:16:06 +0000 2018,0.0,1.0,0.0,That performance was the GOAT. #TonyAwards https://t.co/mtoU92HipQ,36,@CBS
